managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
35,L23LPAFAS,202305,3000000,0,0,,
35,L23LPAFAS,202305,3000000,,,0,0
35,L23LPAFAS,202309,3000000,0,0,0,0
35,L23SCHOMB,202210,3755000,,,,
35,L23SCHOMB,202305,4007000,0,0,252000,0.0671
35,L23SCHOMB,202309,4007000,0,0,0,0
37,LN18ALRFW,201910,1000000,,,,
37,LN18ALRFW,202305,1000000,0,0,0,0
37,LN18ALRFW,202309,1000000,0,0,0,0
37,LN18BEADA,201910,500000,,,,
37,LN18BEADA,202305,500000,0,0,0,0
37,LN18BEADA,202309,500000,0,0,0,0
37,LN18CPBOI,201910,500000,,,,
37,LN18CPBOI,202305,500000,0,0,0,0
37,LN18CPBOI,202309,500000,0,0,0,0
37,LN18DYBHV,201910,725000,,,,
37,LN18DYBHV,202305,725000,0,0,0,0
37,LN18DYBHV,202309,725000,0,0,0,0
37,LN18FEEL,201910,150000,,,,
37,LN18FEEL,202305,150000,0,0,0,0
37,LN18FEEL,202309,150000,0,0,0,0
37,LN18RDADA,201910,500000,,,,
37,LN18RDADA,202305,500000,0,0,0,0
37,LN18RDADA,202309,500000,0,0,0,0
37,LN2058FPS,201910,715000,,,,
37,LN2058FPS,202305,681000,0,0,-34000,-0.0475
37,LN2058FPS,202309,681000,0,0,0,0
37,LN20LSCRF,201910,7500000,,,,
37,LN20LSCRF,202305,7500000,0,0,0,0
37,LN20LSCRF,202309,7500000,0,0,0,0
37,LN21LBHVA,202101,10261000,,,,
37,LN21LBHVA,202305,10261000,0,0,0,0
37,LN21LBHVA,202309,12490000,0,0,2229000,0.2172
37,LN22HUDPK,202202,24046000,,,,
37,LN22HUDPK,202305,6446000,0,0,-17600000,-0.7319
37,LN22HUDPK,202309,6446000,0,0,0,0
37,LN22YVADA,202202,1800000,,,,
37,LN22YVADA,202305,1800000,0,0,0,0
37,LN22YVADA,202309,1800000,0,0,0,0
37,LN23EDWCR,202210,10600000,,,,
37,LN23EDWCR,202305,12156000,0,0,1556000,0.1467
37,LN23EDWCR,202309,12156000,0,0,0,0
37,LN24TSCR,202309,30197000,,,,
37,LN24TSCR,202309,30197000,0,0,0,0
37,LNBEREXRE,201910,1000000,,,,
37,LNBEREXRE,202305,1000000,0,0,0,0
37,LNBEREXRE,202309,1000000,0,0,0,0
37,LNBERHVAC,201910,1500000,,,,
37,LNBERHVAC,202305,1500000,0,0,0,0
37,LNBERHVAC,202309,1500000,0,0,0,0
37,LNCA16SDW,201910,300000,,,,
37,LNCA16SDW,202305,300000,0,0,0,0
37,LNCA16SDW,202309,300000,0,0,0,0
37,LNCA17PBY,201910,1300000,,,,
37,LNCA17PBY,202305,1178000,0,0,-122000,-0.0938
37,LNCA17PBY,202309,1178000,0,0,0,0
37,LNCA17THL,201910,700000,,,,
37,LNCA17THL,202305,634000,0,0,-66000,-0.0942
37,LNCA17THL,202309,634000,0,0,0,0
37,LNCM15STB,201910,200000,,,,
37,LNCM15STB,202305,200000,0,0,0,0
37,LNCM15STB,202309,200000,0,0,0,0
37,LNEM17RTW,201910,1200000,,,,
37,LNEM17RTW,202305,1268000,0,0,68000,0.0566
37,LNEM17RTW,202309,1268000,0,0,0,0
37,LNMA16BLD,201910,600000,,,,
37,LNMA16BLD,202305,544000,0,0,-56000,-0.0933
37,LNMA16BLD,202309,544000,0,0,0,0
37,LNMA17CSQ,201610,400000,,,,
37,LNMA17CSQ,202305,362000,0,0,-38000,-0.095
37,LNMA17CSQ,202309,512000,0,0,150000,0.4143
37,LNMPADA01,201910,500000,,,,
37,LNMPADA01,202305,500000,0,0,0,0
37,LNMPADA01,202309,500000,0,0,0,0
37,LNRA17WNB,201610,1000000,,,,
37,LNRA17WNB,202305,906000,0,0,-94000,-0.094
37,LNRA17WNB,202309,906000,0,0,0,0
37,LNRA18GCK,201910,350000,,,,
37,LNRA18GCK,202305,359000,0,0,9000,0.0257
37,LNRA18GCK,202309,359000,0,0,0,0
37,LNRA18RCH,201910,600000,,,,
37,LNRA18RCH,202305,600000,0,0,0,0
37,LNRA18RCH,202309,600000,0,0,0,0
37,LNSSEXTFW,201910,1500000,,,,
37,LNSSEXTFW,202305,1500000,0,0,0,0
37,LNSSEXTFW,202309,1500000,0,0,0,0
37,LNVNADABA,201910,500000,,,,
37,LNVNADABA,202305,500000,0,0,0,0
37,LNVNADABA,202309,500000,0,0,0,0
37,LNWBEXTFA,201910,2000000,,,,
37,LNWBEXTFA,202305,1000000,0,0,-1000000,-0.5
37,LNWBEXTFA,202309,1000000,0,0,0,0
38,LBC17DRBR,201904,1000000,,,,
38,LBC17DRBR,202305,1659000,0,0,659000,0.659
38,LBC17DRBR,202309,1659000,0,0,0,0
38,LBC18FHSG,201904,175000,,,,
38,LBC18FHSG,202305,156000,0,0,-19000,-0.1085
38,LBC18FHSG,202309,156000,0,0,0,0
38,LBC19CHEL,201910,150000,,,,
38,LBC19CHEL,202305,150000,0,0,0,0
38,LBC19CHEL,202309,150000,0,0,0,0
38,LBC20MPMR,201910,250000,,,,
38,LBC20MPMR,202305,250000,0,0,0,0
38,LBC20MPMR,202309,250000,0,0,0,0
38,LBC21MNRF,202104,1500000,,,,
38,LBC21MNRF,202305,2341000,0,0,841000,0.5606
38,LBC21MNRF,202309,5841000,0,0,3500000,1.495
38,LBC22CDEL,202111,374000,,,,
38,LBC22CDEL,202305,374000,0,0,0,0
38,LBC22CDEL,202309,374000,0,0,0,0
38,LBC22CDOD,202305,1616000,,,,
38,LBC22CDOD,202305,1616000,0,0,0,0
38,LBC22CDOD,202309,4415000,0,0,2799000,1.732
38,LBC22JBIF,202111,2000000,,,,
38,LBC22JBIF,202305,1800000,0,0,-200000,-0.1
38,LBC22JBIF,202309,6050000,0,0,4250000,2.3611
38,LBC22KBIF,202305,4972000,0,0,,
