reporting_period,managing_agency,agency_project_name,current_phase,completion_date,completion_date_type,variance_day,data_date
202305,CUNY,BARUCH-17 Lexington Avenue,Close-out,6/1/16,Actual,,4/26/23
202305,CUNY,BKLYNC-ADA Upgrade,,6/1/20,Actual,,4/26/23
202305,CUNY,BKLYNC-Performing Arts Center,Close-out,7/3/18,Actual,,4/26/23
202305,CUNY,BMCC - Upgrades to Theatres,Design,12/1/24,Forecast,,4/26/23
202309,CUNY,BMCC - Upgrades to Theatres,Design,12/1/24,Forecast,0,2/2/24
202309,CUNY,BRXCC - Boiler Plant Upgrade,Design,12/26/25,Forecast,,2/2/24
202305,CUNY,BRXCC - Campus Wide Fire Alarm,Construction,6/1/24,Forecast,,4/26/23
202309,CUNY,BRXCC - Campus Wide Fire Alarm,Construction,12/30/24,Forecast,212,2/2/24
202305,CUNY,BRXCC - HVAC Upgrades - CUNY,Design,1/30/25,Forecast,,4/26/23
202309,CUNY,BRXCC - HVAC Upgrades - CUNY,Design,4/1/26,Forecast,426,2/2/24
202305,CUNY,Central Office - Data Center,Construction,6/1/23,Forecast,,4/26/23
202309,CUNY,Central Office - Data Center,Construction,9/30/24,Forecast,487,2/2/24
202305,CUNY,CUNY School of Law 2 Court,Close-out,11/30/22,Actual,,4/26/23
202305,CUNY,Eugenio Maria De Hostos Com. College - 425 GC ASAP Program,Close-out,,Forecast,,4/26/23
202309,CUNY,Eugenio Maria De Hostos Com. College - 425 GC ASAP Program,Close-out,11/15/23,Actual,,2/2/24
202305,CUNY,HTSCC 450 GC FA Upgrade,Construction,10/31/23,Forecast,,4/26/23
202309,CUNY,HTSCC 450 GC FA Upgrade,Construction,12/29/23,Forecast,59,2/2/24
202305,CUNY,HTSCC-ADA Work,Close-out,12/20/10,Actual,,4/26/23
202305,CUNY,HTSCC-HVAC Work,Pre-Design,,Forecast,,4/26/23
202309,CUNY,HTSCC-HVAC Work,Pre-Design,,Forecast,,2/2/24
202305,CUNY,LGCC - Schenker M Bldg,Design,,Forecast,,4/26/23
202309,CUNY,LGCC - Schenker M Bldg,Design,,Forecast,,2/2/24
202309,CUNY,QNBCC-Ph II Fire Alarm,Design,2/1/25,Forecast,,2/2/24
202309,CUNY,York-Tennis Crt&Field Hse Rstrm.Upg,Pre-Design,,Forecast,,2/2/24
202309,CUNY,York-Upgrade Cafeteria Equipment,Pre-Design,,Forecast,,2/2/24
202305,DCAS,1 CENTRE ST. - 9th Floor Renovation,Pre-Design,,Forecast,,6/28/23
202309,DCAS,1 CENTRE ST. - 9th Floor Renovation,Pre-Design,,Forecast,,1/4/24
202305,DCAS,1 CENTRE ST.- 25TH FL  BUILDOUT,Design,1/30/25,Forecast,,6/28/23
202309,DCAS,1 CENTRE ST.- 25TH FL  BUILDOUT,Design,1/1/26,Forecast,336,1/4/24
202305,DCAS,100 GOLD ST - ELEVATOR MODERNIZATION,Design,12/1/25,Forecast,,6/28/23
202309,DCAS,100 GOLD ST - ELEVATOR MODERNIZATION,Design,12/1/25,Forecast,0,1/4/24
202305,DCAS,100 GOLD ST - FIRE ALARM,Construction Procurement,12/1/26,Forecast,,6/28/23
202309,DCAS,100 GOLD ST - FIRE ALARM,Construction Procurement,12/1/26,Forecast,0,1/4/24
202305,DCAS,100 GOLD STREET  2 FLOOR - MOCs,Construction,3/1/25,Forecast,,6/28/23
202309,DCAS,100 GOLD STREET  2 FLOOR - MOCs,Construction,3/1/25,Forecast,0,1/4/24
202305,DCAS,125 WORTH ST - FREIGHT ELEVATOR,Design,12/1/24,Forecast,,6/28/23
202309,DCAS,125 WORTH ST - FREIGHT ELEVATOR,Design,12/1/24,Forecast,0,1/4/24
202305,DCAS,151-20 JAMAICA AVE.- CHILLER REPLACEMENT,Pre-Design,,Forecast,,6/28/23
202309,DCAS,151-20 JAMAICA AVE.- CHILLER REPLACEMENT,Pre-Design,,Forecast,,1/4/24
202305,DCAS,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,4/4/25,Forecast,,6/28/23
202309,DCAS,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,4/4/25,Forecast,0,1/4/24
202305,DCAS,2 Lafayette Street Renovation,Pre-Design,,Forecast,,6/28/23
202309,DCAS,2 Lafayette Street Renovation,Pre-Design,,Forecast,,1/4/24
202305,DCAS,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,4/1/25,Forecast,,6/28/23
202309,DCAS,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,4/1/25,Forecast,0,1/4/24
202305,DCAS,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,4/1/25,Forecast,,6/28/23
202309,DCAS,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,4/1/25,Forecast,0,1/4/24
202305,DCAS,210 JORALEMON ST. OCA RELOCATION,Construction,6/3/25,Forecast,,6/28/23
202309,DCAS,210 JORALEMON ST. OCA RELOCATION,Construction,6/3/25,Forecast,0,1/4/24
202305,DCAS,25 14th St Fleet Services Shop Rehabilitation,Construction,10/1/24,Forecast,,6/28/23
202309,DCAS,25 14th St Fleet Services Shop Rehabilitation,Construction,10/1/24,Forecast,0,1/4/24
202305,DCAS,345 ADAMS RESTACKING PLAN,Construction,12/1/25,Forecast,,6/28/23
202309,DCAS,345 ADAMS RESTACKING PLAN,Construction,12/1/25,Forecast,0,1/4/24
202305,DCAS,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/1/27,Forecast,,6/28/23
202309,DCAS,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/1/27,Forecast,0,1/4/24
202305,DCAS,851 GRAND CONCOURSE - HOUSING COURT RELOCATION,Construction Procurement,3/1/28,Forecast,,6/28/23
